epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,300.831,0.91726,1.50947,1.4603,0.56913,0.59091,0.54022,0.28511,1.70648,2.14169,1.56413,0.000742815,0.000742815,0.000742815
58,305.94,0.86905,1.49105,1.38229,0.69481,0.53375,0.56088,0.30534,1.68781,2.02381,1.5106,0.000726312,0.000726312,0.000726312
59,311.043,0.96925,1.5481,1.46458,0.57614,0.59433,0.57059,0.32394,1.68204,1.89206,1.48154,0.000709809,0.000709809,0.000709809
60,316.045,0.91744,1.44813,1.44084,0.80705,0.49495,0.57513,0.30987,1.80537,1.93644,1.54707,0.000693305,0.000693305,0.000693305
61,321.254,0.91382,1.47821,1.42841,0.75515,0.50884,0.57334,0.29196,1.87167,2.00969,1.56226,0.000676802,0.000676802,0.000676802
62,326.334,0.86737,1.41087,1.4241,0.84058,0.48106,0.58802,0.31663,1.75845,1.91776,1.50851,0.000660299,0.000660299,0.000660299
63,331.541,0.87359,1.394,1.41132,0.71876,0.52874,0.60158,0.33949,1.68457,1.84265,1.47596,0.000643795,0.000643795,0.000643795
64,336.441,0.87415,1.4237,1.38539,0.79637,0.56772,0.6221,0.35203,1.67727,1.85178,1.49128,0.000627292,0.000627292,0.000627292
65,341.565,0.86994,1.42348,1.41932,0.71672,0.54783,0.61003,0.33823,1.76382,1.98059,1.53183,0.000610789,0.000610789,0.000610789
66,346.693,0.84185,1.34028,1.35405,0.62727,0.62039,0.5668,0.29327,1.76217,1.94802,1.60826,0.000594286,0.000594286,0.000594286
67,351.575,0.91376,1.42896,1.43137,0.76121,0.50379,0.58401,0.30086,1.76391,1.93996,1.56416,0.000577782,0.000577782,0.000577782
68,356.621,0.88475,1.41933,1.40424,0.67783,0.58207,0.60792,0.31765,1.70152,1.82905,1.48702,0.000561279,0.000561279,0.000561279
69,361.729,0.85045,1.35837,1.39497,0.76055,0.6031,0.62436,0.32207,1.71488,1.87985,1.5349,0.000544776,0.000544776,0.000544776
70,367.012,0.81306,1.28827,1.36365,0.72615,0.64646,0.62664,0.34811,1.66477,1.78654,1.51698,0.000528272,0.000528272,0.000528272
71,372.052,0.88876,1.35513,1.447,0.75182,0.6048,0.62182,0.34468,1.64643,1.80277,1.50268,0.000511769,0.000511769,0.000511769
72,377.014,0.8343,1.34926,1.38059,0.72066,0.59091,0.61064,0.338,1.64335,1.78908,1.464,0.000495266,0.000495266,0.000495266
73,382.227,0.87603,1.36628,1.42057,0.68745,0.54221,0.60574,0.31615,1.77088,1.8225,1.50283,0.000478762,0.000478762,0.000478762
74,387.263,0.81571,1.31597,1.36198,0.72922,0.55934,0.61824,0.32349,1.76658,1.93314,1.55871,0.000462259,0.000462259,0.000462259
